Order,Cluster
56,1
62,1
70,1
58,1
81,1
96,1
57,1
73,1
54,1
68,1
78,1
65,1
93,1
63,1
50,1
51,1
100,1
97,1
55,1
99,1
19,1
60,1
98,1
53,1
39,1
40,1
67,1
92,1
36,2
4,2
30,2
44,2
20,2
38,2
24,2
66,2
79,2
27,2
28,2
64,2
59,2
71,2
72,2
74,2
7,2
102,2
22,2
3,2
6,2
18,2
52,2
101,2
25,2
77,2
87,2
34,2
17,2
45,2
80,2
95,2
46,2
35,2
69,2
76,2
90,2
26,2
10,2
31,2
37,2
5,2
16,2
9,2
23,2
42,2
2,2
49,2
12,2
33,2
75,2
85,2
86,2
82,2
83,2
61,2
91,2
48,2
14,2
11,2
13,2
47,2
15,2
21,2
8,2
1,2
41,2
29,2
88,2
43,2
84,2
89,2
32,2
94,2
